model_team,pointNA,target_end_date
UMass.MechBayes,31539,2020-07-04
UT.Mobility,31615,2020-07-04
epiforecasts.ensemble1,31965,2020-07-04
SWC.TerminusCM,24898,2020-07-04
USACE.ERDC_SEIR,32440.8765489512,2020-07-04
YYG.ParamSearch,31516.1620140187,2020-07-05
MIT_CovidAnalytics.DELPHI,31210,2020-07-05
MOBS_NEU.GLEAM_COVID,31292.5900191281,2020-07-05
NotreDame.mobility,24864.2726162726,2020-07-05
PSI.DRAFT,31363,2020-07-05
UT.Mobility,31631,2020-07-05
Auquan.SEIR,32416,2020-07-05
CU.nochange,31557,2020-07-05
CU.scenario_high,31565,2020-07-05
CU.scenario_low,31569,2020-07-05
CU.scenario_mid,31550,2020-07-05
CU.select,31569,2020-07-05
Covid19Sim.Simulator,31290.9982167008,2020-07-05
CovidActNow.SEIR_CAN,,2020-07-05
IowaStateLW.STEM,31769,2020-07-05
JHU_IDD.CovidSP,31756.6266666667,2020-07-05
LANL.GrowthRate,31602.6908299727,2020-07-05
OliverWyman.Navigator,31612.89766,2020-07-05
UA.EpiCovDA,31361,2020-07-05
UCLA.SuEIR,31558.5779150109,2020-07-05
MIT_CovAlliance.SIR,30927.947,2020-07-05
SWC.TerminusCM,24909,2020-07-05
USACE.ERDC_SEIR,32450.6551513434,2020-07-05
YYG.ParamSearch,31531.3066174732,2020-07-06
MIT_CovidAnalytics.DELPHI,31213,2020-07-06
MOBS_NEU.GLEAM_COVID,31301.5307534775,2020-07-06
NotreDame.mobility,24873.2762052762,2020-07-06
PSI.DRAFT,31378.5,2020-07-06
UT.Mobility,31647,2020-07-06
Auquan.SEIR,32468,2020-07-06
CU.nochange,31586,2020-07-06
CU.scenario_high,31594,2020-07-06
CU.scenario_low,31599,2020-07-06
CU.scenario_mid,31574,2020-07-06
CU.select,31599,2020-07-06
Covid19Sim.Simulator,31308.4532801206,2020-07-06
CovidActNow.SEIR_CAN,,2020-07-06
IowaStateLW.STEM,31802,2020-07-06
JHU_IDD.CovidSP,31820.76,2020-07-06
LANL.GrowthRate,31629.308272475,2020-07-06
OliverWyman.Navigator,31640.59527,2020-07-06
UA.EpiCovDA,31376,2020-07-06
UCLA.SuEIR,31578.7479786022,2020-07-06
MIT_CovAlliance.SIR,30942.645,2020-07-06
SWC.TerminusCM,24919,2020-07-06
USACE.ERDC_SEIR,32459.7340083384,2020-07-06
YYG.ParamSearch,31545.5370965985,2020-07-07
MIT_CovidAnalytics.DELPHI,31216,2020-07-07
MOBS_NEU.GLEAM_COVID,31310.0214498535,2020-07-07
NotreDame.mobility,24882.3245273245,2020-07-07
PSI.DRAFT,31390,2020-07-07
UT.Mobility,31660,2020-07-07
Auquan.SEIR,32516,2020-07-07
CU.nochange,31610,2020-07-07
CU.scenario_high,31624,2020-07-07
CU.scenario_low,31630,2020-07-07
CU.scenario_mid,31598,2020-07-07
CU.select,31630,2020-07-07
Covid19Sim.Simulator,31325.275623904,2020-07-07
CovidActNow.SEIR_CAN,,2020-07-07
IowaStateLW.STEM,31834,2020-07-07
JHU_IDD.CovidSP,31885.1333333333,2020-07-07
LANL.GrowthRate,31657.642639388,2020-07-07
OliverWyman.Navigator,31667.62871,2020-07-07
UA.EpiCovDA,31391,2020-07-07
UCLA.SuEIR,31597.8541361571,2020-07-07
MIT_CovAlliance.SIR,30956.697,2020-07-07
SWC.TerminusCM,24929,2020-07-07
USACE.ERDC_SEIR,32468.1616119499,2020-07-07
YYG.ParamSearch,31559.1833912495,2020-07-08
MIT_CovidAnalytics.DELPHI,31218,2020-07-08
MOBS_NEU.GLEAM_COVID,31318.0883855269,2020-07-08
NotreDame.mobility,24891.4582824583,2020-07-08
PSI.DRAFT,31402.5,2020-07-08
UT.Mobility,31672,2020-07-08
Auquan.SEIR,32561,2020-07-08
CU.nochange,31637,2020-07-08
CU.scenario_high,31652,2020-07-08
CU.scenario_low,31654,2020-07-08
CU.scenario_mid,31625,2020-07-08
CU.select,31654,2020-07-08
Covid19Sim.Simulator,31342.0455303348,2020-07-08
CovidActNow.SEIR_CAN,,2020-07-08
IowaStateLW.STEM,31864,2020-07-08
JHU_IDD.CovidSP,31951.3466666667,2020-07-08
LANL.GrowthRate,31683.5688312719,2020-07-08
OliverWyman.Navigator,31694.00663,2020-07-08
UA.EpiCovDA,31405,2020-07-08
UCLA.SuEIR,31615.9519528515,2020-07-08
MIT_CovAlliance.SIR,30970.13,2020-07-08
SWC.TerminusCM,24939,2020-07-08
USACE.ERDC_SEIR,32475.9835644932,2020-07-08
YYG.ParamSearch,31572.2879922312,2020-07-09
MIT_CovidAnalytics.DELPHI,31220,2020-07-09
MOBS_NEU.GLEAM_COVID,31325.7845449556,2020-07-09
NotreDame.mobility,24900.6727716728,2020-07-09
PSI.DRAFT,31415,2020-07-09
UT.Mobility,31683,2020-07-09
Auquan.SEIR,32602,2020-07-09
CU.nochange,31667,2020-07-09
CU.scenario_high,31684,2020-07-09
CU.scenario_low,31683,2020-07-09
CU.scenario_mid,31650,2020-07-09
CU.select,31683,2020-07-09
Covid19Sim.Simulator,31357.7251207298,2020-07-09
CovidActNow.SEIR_CAN,,2020-07-09
IowaStateLW.STEM,31892,2020-07-09
JHU_IDD.CovidSP,32018.2266666667,2020-07-09
LANL.GrowthRate,31708.6985169284,2020-07-09
OliverWyman.Navigator,31719.72478,2020-07-09
UA.EpiCovDA,31419,2020-07-09
UCLA.SuEIR,31633.0941518413,2020-07-09
MIT_CovAlliance.SIR,30982.973,2020-07-09
SWC.TerminusCM,24948,2020-07-09
USACE.ERDC_SEIR,32483.2421421579,2020-07-09
YYG.ParamSearch,31584.8916596192,2020-07-10
MIT_CovidAnalytics.DELPHI,31222,2020-07-10
MOBS_NEU.GLEAM_COVID,31333.12525782,2020-07-10
NotreDame.mobility,24910.028009028,2020-07-10
PSI.DRAFT,31427,2020-07-10
UT.Mobility,31694,2020-07-10
Auquan.SEIR,32641,2020-07-10
CU.nochange,31695,2020-07-10
CU.scenario_high,31715,2020-07-10
CU.scenario_low,31713,2020-07-10
CU.scenario_mid,31672,2020-07-10
CU.select,31713,2020-07-10
Covid19Sim.Simulator,31372.7329916901,2020-07-10
CovidActNow.SEIR_CAN,,2020-07-10
IowaStateLW.STEM,31919,2020-07-10
JHU_IDD.CovidSP,32085.6066666667,2020-07-10
LANL.GrowthRate,31735.2763367713,2020-07-10
OliverWyman.Navigator,31744.77223,2020-07-10
UA.EpiCovDA,31432,2020-07-10
UCLA.SuEIR,31649.3307477815,2020-07-10
MIT_CovAlliance.SIR,30995.248,2020-07-10
