state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
NY,2020-03-13,95,42340.242609435,28190.4898048054,61706.3348737351,0,5.03014888014731,2.7512153645664,8.45132623732935,4.60278313429365,3.6666292549386,5.5633774721975,78247.2574672025,51039.4611875757,115245.416644558
NY,2020-03-14,189,56669.3326855424,39552.4331926172,79126.6647033179,2,6.5505221465083,3.75749807229021,10.6629468790324,4.64288579074735,3.83195328072872,5.43747395334534,104015.415640445,68886.2813562904,152074.267923262
NY,2020-03-15,122,70254.3042876813,49462.3854226305,97315.6447851945,4,8.55750339970404,5.09468451397026,13.6664713687343,4.33767804323892,3.54449932812393,5.12641509077064,138000.680537182,92605.0426253583,200470.362445657
NY,2020-03-16,218,88427.3818571176,61967.9940401483,122594.441752962,4,11.2132699665045,6.95226030288061,17.4510602502331,4.13129612956366,3.34633305307934,4.91316952052137,182213.716734762,124162.021444395,260404.951891179
NY,2020-03-17,425,95031.4625315261,66590.8838892798,131506.996886365,8,14.7269225754091,9.46840355961785,22.4615334887249,3.40019250763339,2.65215818445946,4.18734181107402,238073.191877066,164877.16475944,336668.583459721
NY,2020-03-18,1012,114223.352949086,79086.2829686226,161212.335646697,14,19.3780908316094,12.7750887309569,28.8384733346041,3.18189590263524,2.4550093255572,3.9733981718355,305299.840544659,212729.738997759,426346.478795834
NY,2020-03-19,1774,125640.517187811,84915.3979711293,182183.445241328,7,25.5049440949528,17.2250082350286,37.0711745802699,2.79724593065662,2.09708075388132,3.59481576137125,381491.709467005,268558.723701818,526810.756051984
NY,2020-03-20,2952,154079.634055179,100919.663455463,228379.480198552,29,33.5148283522492,23.2241908200485,47.5665106677838,2.79682486327897,2.1016182530864,3.58426621504745,466435.49507913,331067.366095963,640045.118143096
NY,2020-03-21,3258,144229.352600601,102596.879716012,199215.38278144,27,43.8648460383725,31.031622400889,60.9963643171251,2.19285519040426,1.64173709096164,2.81045661543403,560466.421024589,396000.534757552,768339.820177848
NY,2020-03-22,4817,127672.979470754,90511.6272247746,177345.558926035,47,57.0427692616799,41.2647170854904,77.8645931929989,1.64660680037755,1.19807130830649,2.17135016060909,662261.742845449,469034.456676684,909389.970286674
NY,2020-03-23,5711,85426.304808653,56231.9975470303,125104.386505854,41,73.5822329779028,54.0994616415644,99.0849493759284,0.96389919673087,0.633772234039858,1.37456291987171,758471.984879437,541930.953894461,1038691.79572182
NY,2020-03-24,4804,125950.054010657,84667.7674169036,182030.24025974,73,93.9556392772721,70.4198943519956,124.856088108113,1.28875451896609,0.910569597204383,1.74284352897154,832025.844270188,601794.115810076,1137675.9166073
NY,2020-03-25,7413,120734.65196898,78016.8036236089,178903.499234422,119,118.583835551184,90.1043380575941,155.81574704375,1.1682631845775,0.81247271409144,1.60185459660764,877490.780347644,636525.602863581,1192780.89595232
NY,2020-03-26,5941,137239.531142908,86617.8858375942,207116.157536187,127,147.638416851164,113.670721449781,192.120536487843,1.27389590607261,0.905123493997524,1.71918569526679,911063.374886559,667130.237627424,1228090.35001526
NY,2020-03-27,5688,133766.519054603,80911.3570060242,208140.87271542,143,181.092851334168,140.556377990587,234.052549355495,1.19982217818676,0.84410103941475,1.62934803025614,939352.463537025,686818.733622167,1255361.38977169
NY,2020-03-28,8771,89338.8258618483,58810.6476693428,128464.612290101,290,218.696810093221,170.709333503716,280.828020421929,0.788320405346999,0.516910566558096,1.10238435083787,967987.721141847,700222.539033817,1314888.96313456
NY,2020-03-29,6267,86167.9950310483,55550.1798552996,126543.649363548,245,260.041471407771,204.288226258961,332.069724317113,0.744305617197446,0.484617837520881,1.05402117799194,988742.75698474,711210.530577637,1362033.91516319
NY,2020-03-30,7679,79905.9501609491,51051.0166548102,118471.754963514,332,304.481785763273,240.290958225854,385.810666805695,0.689361974176818,0.45756506626815,0.972465514075192,988525.072287921,707473.628749733,1365594.57984066
NY,2020-03-31,8749,79119.2556533045,49214.6763176817,119911.173665265,417,351.44485930789,279.037903345485,441.440129656353,0.694002214722239,0.461887349597651,0.977664435652059,969641.870530144,690988.694265543,1338529.75972995
NY,2020-04-01,8152,84170.0278097572,51203.7276655949,128402.799712278,486,400.036214632382,318.909064222856,500.068658805849,0.761011506134762,0.510261945887357,1.06165591944053,937794.647747268,668137.423779764,1295922.84906568
NY,2020-04-02,8608,76216.2909451482,44780.940052897,119669.360816542,548,449.267738085097,360.098200863728,559.568254134542,0.714831113437394,0.478273526057122,1.00023064288227,900550.98712787,641233.109912539,1246387.57716351
NY,2020-04-03,10680,67899.6268648248,38244.1457555197,110250.677189884,753,498.347037294491,400.950387512655,617.445695999182,0.661519307389857,0.44319499143205,0.927272239286983,863325.891689044,614073.443204181,1190743.26998659
NY,2020-04-04,12312,65497.8321086619,41850.2944397936,95993.4609313877,819,546.23158567846,441.33519507908,673.117168875761,0.678666222947876,0.4368851466985,0.971051391290301,825645.00279266,583708.185671369,1149342.29197564
NY,2020-04-05,8122,58283.3668754759,36537.9669274922,86909.5869832386,800,592.01185700557,480.953868792869,725.222901131337,0.633255653372802,0.410109767719497,0.912838483842179,786809.97895504,548385.558553384,1107037.29516143
NY,2020-04-06,7976,50453.8630563102,31466.229855136,75798.1155280639,795,634.857089221307,516.012979072576,776.89534451469,0.576454089352969,0.369739737577785,0.827524514516178,747284.588614468,516107.503060375,1055073.49149561
NY,2020-04-07,9642,48792.2140323007,29571.9172844965,74603.3172133213,1055,674.085826273819,550.232304043569,823.355237130591,0.58826598515494,0.377784580218904,0.842762199065426,706204.269615716,487824.790692936,997411.641175065
NY,2020-04-08,9568,44130.1279491683,25964.4298853732,68989.951775512,953,708.579799158418,578.656003654864,861.868752169117,0.564252017655656,0.363522213537694,0.806683351496089,663561.596201574,458115.600355427,938271.113733388
NY,2020-04-09,10765,37457.8955708375,21087.4794773801,60175.7645253701,1028,738.720682118328,605.13281101905,900.169325018705,0.509801616984985,0.329033731185672,0.729296311883632,620874.053574088,429133.993673091,873953.590738939
NY,2020-04-10,10794,34607.9837805788,18711.3080085751,57069.5535961433,996,763.61168152216,624.290452650727,928.840869444761,0.503693321421568,0.321957099165719,0.721271124928267,578331.128800218,398615.929830332,819561.776463291
NY,2020-04-11,10160,47327.546405988,29856.1629332076,70714.4301816807,997,783.617106680986,639.22101758272,952.694892094033,0.757183711741007,0.4869427373011,1.09317902401107,535801.890289717,364314.015615594,760989.239417216
NY,2020-04-12,8435,23461.0412633087,13966.2467420438,36567.367224713,957,798.472869228257,652.296413019071,971.536447928637,0.404577918878011,0.255195880553553,0.606081270993938,496616.389927346,335744.199948754,714120.05363796
NY,2020-04-13,6548,19607.5805162914,11596.5559101288,30701.8271058772,882,807.872397832457,660.237913444301,984.11517882291,0.362670243884642,0.229326531397935,0.537063430771304,462249.086662248,311984.057446541,660984.738310447
NY,2020-04-14,7402,26745.398140603,15781.3063039951,41752.1552485811,1003,812.128596385932,663.86041479472,991.147339239863,0.535150247193306,0.345058430090775,0.773560124494639,425938.510217428,287545.09734422,610276.416066265
NY,2020-04-15,11755,24366.6253782029,14034.4226866816,39073.1347201933,936,811.805276419101,662.399532929201,990.762501201711,0.532292147854288,0.343391213716647,0.767543981872616,388799.641127946,261871.380073586,557798.810212062
NY,2020-04-16,8631,21837.9148212054,12085.9960489685,35913.0211496104,732,806.685801828691,657.279093894035,984.960423227516,0.520502006870334,0.335472568241636,0.7499902640341,354897.601447447,237653.558105999,509712.24848297
NY,2020-04-17,7532,19229.1366341968,10234.0962758713,32263.1424682236,804,797.652119706921,647.915449546706,976.981675003701,0.498724017730615,0.32147042679474,0.721269252681399,324690.589516726,216729.378725621,469718.13464041
NY,2020-04-18,7249,21404.5773101715,13244.7625713564,32230.1902922881,668,784.332144600132,636.369591224608,960.291270627712,0.617722216800612,0.395505081106925,0.908444224661957,297496.349529352,197979.843461135,433246.539357131
NY,2020-04-19,6199,20936.1144450992,12800.8433860656,31853.2474839886,652,768.111429087602,623.398744431012,941.887506750318,0.657296614300869,0.422316035675034,0.960656388895182,273205.545739682,179935.274524148,395567.119879517
